2FI1204,2PI1211,2FIC1201,2K-167A,2K-167,2K-169,2PI1301,2PI1212,2K175,2FI1203,2LIAS3250
31.8607769,34.91545868,31.65857124,-1.503837347,38.52441025,-0.259898782,49.61909485,32.36274338,29.99370766,1.871354938,22.0606308
33.68434906,35.35573959,29.74285889,-1.499703765,40.54723358,-0.241207734,49.95113373,32.85769653,31.72926521,2.040272236,6.408975124
34.76354218,35.60271454,34.34154129,-1.495570183,42.90359879,-0.229870528,50.49759293,33.04487228,35.69885254,2.22583127,6.793446064
35.29506683,35.94205856,33.60649872,-1.491436601,42.71556473,-0.225129142,49.37623978,33.32424545,35.79883575,2.237631559,13.45859623
33.69087601,35.335289,32.60406113,-1.487302899,43.16139984,-0.235098377,48.56140518,32.60842133,34.30511856,2.158609867,3.068412066
34.40568542,35.51992416,35.48222733,-1.485419869,45.0308342,-0.227201745,50.13978195,32.92348862,32.84191895,2.103823423,2.356874466
33.79494858,35.25845718,26.54071999,-1.484041929,38.09683609,-0.222078368,50.36169815,32.81735229,30.94282913,1.991133213,7.408426285
31.97018814,34.73284531,34.46761322,-1.482664108,41.15306473,-0.217435658,51.5296936,32.26538849,31.75998116,2.060352087,3.319148064
30.36619568,34.50457764,33.6190567,-1.481286287,42.15494537,-0.217013881,49.848629,32.05350113,27.65912056,1.694566131,1.94461894
32.24440765,34.94086075,21.08831215,-1.479908347,29.78448868,-0.224247679,50.62281418,32.48439407,27.75563431,1.795319557,16.26178551
29.77865028,34.18769836,32.06357574,-1.478530526,40.1417923,-0.217073873,49.68204117,31.6608429,21.90713692,1.515656352,4.884494781
32.7052002,34.56487274,30.11407852,-1.477152705,41.2494278,-0.217075109,49.98068619,32.13090134,28.37456512,1.752443552,-1.824612856
30.35678864,34.65786362,26.18115234,-1.475774765,35.2394371,-0.242332175,51.16283417,32.17056656,28.76979637,1.743772149,13.93729401
35.47645569,35.56425095,37.59871292,-1.48002243,45.86472321,-0.235309511,49.85446548,32.95319748,39.86704254,2.543887377,-3.833882332
35.38912201,35.54336929,29.37893105,-1.484618545,38.83683395,-0.227864578,49.26298904,33.20755005,37.24116135,2.434445858,2.210075378
31.30656433,34.66623306,26.17680168,-1.489214659,36.48540878,-0.23383233,48.96014786,32.08444595,28.15033531,1.855044484,10.08911514
33.57041931,35.30571365,21.91261101,-1.493810773,33.20514679,-0.235098377,48.47016907,32.72322464,30.32762718,2.053939104,16.3090744
31.43260193,34.742836,27.4313221,-1.498406887,34.92121887,-0.238715276,50.05405045,32.14574051,29.33968163,1.882441759,31.9982872
29.93995857,34.63107681,30.61133575,-1.503003001,38.96122742,-0.245249957,50.77482224,32.30938339,31.58311272,2.142259121,7.669614315
32.18341064,35.00590897,34.67690277,-1.507599235,41.86571121,-0.23962751,50.52226257,32.46250916,29.94784737,2.006494999,6.248957157
33.51953888,35.28522491,27.62827492,-1.511830211,36.92026901,-0.266708523,49.39129257,32.80706024,30.19849586,1.986072063,13.02084637
32.60960388,35.08124161,25.59708405,-1.511370778,34.88632202,-0.269322276,48.41566086,32.62935257,27.93676949,1.739570379,15.26263332
34.3547821,35.75810242,29.52299309,-1.510911345,42.68663025,-0.264033556,47.78819656,33.34720612,35.88675308,2.180937529,6.4263587
